condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
TRIAE_CS42_2AS_TGACV1_113086_AA0351020,3.335769576,5.128234609,4.645198265,4.612701752,4.777929503,3.370738174,4.556276116,4.924096533,5.873601196,6.469247216,4.807596612,5.867379822,3.984661756,3.877742071,3.575506368,5.448993446,4.490465034,4.622715365,6.132506105,6.177321514,5.18555732,5.711452981,3.957932835,5.185988182,4.197634937,5.005441831,4.44063275,3.437207819,6.207881526,5.672962377
TRIAE_CS42_2AS_TGACV1_113123_AA0351630,4.959524439,6.428790014,5.249069348,5.697207574,5.554458461,4.414394594,5.776242661,5.951418293,7.076628477,6.508160904,4.916881236,6.55037866,4.143821792,5.375500605,4.565600532,6.61838378,5.693183167,5.947225262,7.115159616,6.586120619,5.773939557,6.068351511,4.569048586,6.126685761,5.07427341,5.961301687,5.462228826,4.715404804,6.653707834,6.858383296
TRIAE_CS42_2AS_TGACV1_113243_AA0353410,3.472537718,5.125599546,5.104756889,5.748210759,5.113077556,5.12215878,6.042266971,6.323907247,6.207776818,5.62524419,3.821375936,5.684851068,3.81216068,5.310176765,4.542620087,6.467857099,5.720557648,5.888171338,5.95668675,5.57698266,3.958818801,4.766140417,3.999343168,5.623920029,5.045229939,5.932356587,5.913832681,5.273676253,6.200825554,6.135722887
TRIAE_CS42_2BL_TGACV1_130658_AA0415490,7.964552024,6.892906581,6.847540198,5.800479571,5.494739048,5.224105543,5.917748037,6.117960625,7.052556676,6.532658839,7.479107637,7.199715686,4.70401955,5.01434175,4.974800841,7.314266506,5.910493075,5.814697535,7.422403587,6.759653103,8.870887698,5.869418375,4.594418594,7.302712034,5.426899658,6.34819449,5.74526665,4.94862513,6.482443523,6.902645245
TRIAE_CS42_2BL_TGACV1_131096_AA0422580,4.946927006,6.817590608,5.347878662,5.928042469,5.498457963,4.658414226,5.929187467,5.281443297,5.860805312,5.203217365,6.091741915,6.805544354,4.86260308,5.608770817,4.63360214,6.341221366,5.553633389,5.186726371,5.786492698,5.60569912,6.295682889,5.412444394,4.551596399,5.775194196,5.174232654,6.51766241,5.350971485,4.909232123,4.8160792,5.854618811
TRIAE_CS42_2BS_TGACV1_145996_AA0452240,4.197613893,4.863310156,5.53928838,6.134268813,4.942235104,5.015244655,6.083149527,6.338355004,6.097483883,5.529946414,5.153922609,6.032585377,4.259291043,5.481330767,4.562540621,7.129608398,6.044622539,5.678297473,6.034243825,5.495588946,3.859577047,5.185344058,3.638872175,5.85984561,4.793395117,6.369953892,5.851841208,5.578876632,5.995528279,6.265911578
TRIAE_CS42_2BS_TGACV1_146243_AA0460100,3.172932405,5.422643395,4.10845619,4.941270925,4.779745149,3.74372269,5.064403523,5.373823646,5.608500628,6.399157172,4.422706619,5.55377708,2.728022749,4.531366475,4.06737582,5.446582187,4.390707596,4.874296154,5.399568952,5.888237864,5.582296341,4.960849635,3.958228881,5.245902391,5.123987789,4.548656976,5.092884796,3.883938296,6.027425144,5.170563537
TRIAE_CS42_2BS_TGACV1_146253_AA0460480,6.333254761,6.850884353,5.831113854,6.591365042,5.850007544,5.44029815,6.545578083,5.993998833,6.246141649,5.78303718,6.709126276,7.176556474,4.958078043,6.273627668,5.130354824,7.468335744,6.446838241,5.870965013,6.19518264,5.941814638,6.737211294,6.285228711,5.722028335,6.400954876,5.595324574,6.437301949,6.029562034,5.659534479,6.254524723,6.294261807
TRIAE_CS42_2BS_TGACV1_146614_AA0469500,5.247955217,6.653114611,5.303309883,5.842488788,5.912948798,4.958506563,6.016415663,6.336600927,7.414175212,6.955363793,5.19309573,7.003883306,4.643274892,5.363158967,5.087534605,6.787278869,5.830297644,6.190471131,7.614435474,6.881818818,5.998765331,6.594591283,4.958253688,6.413740885,5.604687475,6.195549634,5.77044686,5.054109768,7.188337205,7.356509735
TRIAE_CS42_2BS_TGACV1_146868_AA0474290,3.415126585,4.693483215,3.499533282,4.091569047,3.786459782,3.404525172,4.717641361,3.822301778,5.034208581,5.05453096,2.57261223,4.43244048,3.118122458,4.208467575,2.6041035,5.073459847,4.72388612,3.879189848,4.710430697,5.161093451,4.449210872,3.786459782,3.526254637,4.088071595,3.46885603,4.46465446,3.763522997,3.222867846,4.962718748,4.946473591
TRIAE_CS42_2DL_TGACV1_158702_AA0524660,6.171934391,6.994318222,6.135900333,6.516601277,5.905500803,5.560700862,6.477862736,6.030959261,6.334772297,5.524651822,6.438234733,7.356350117,4.762507213,6.266621633,5.174096779,7.212058452,6.473733277,5.768155357,6.186181875,5.863383986,6.64458499,6.311631356,5.242603791,6.529871291,5.890510973,6.620896867,6.045959835,5.766340912,6.052940571,6.250071763
TRIAE_CS42_2DL_TGACV1_158819_AA0526620,7.738736458,6.977467891,6.745465735,5.957087883,5.654823296,5.143369703,6.316713321,6.61816472,6.958058583,6.594450395,7.362613544,7.117635257,4.660727875,5.169136497,4.838184857,7.128656318,5.870039575,6.113677755,7.402390543,6.677200583,8.950155431,5.949733285,4.764999,7.498277089,5.467490359,6.342494589,5.79994078,4.739867149,6.878960665,6.793424652
TRIAE_CS42_2DL_TGACV1_159712_AA0541890,7.070994844,7.715910537,6.693294721,6.424813593,6.244766139,5.737750313,6.320554782,5.76834912,7.889753823,6.453954047,6.643939722,8.489676907,5.761482038,6.558274098,5.030156836,7.780963037,7.671510688,6.142368104,7.639059343,7.512837537,7.184006631,6.894054754,5.857589667,7.22604005,5.521024823,7.48974598,5.901727267,6.60386309,6.010359091,7.648010734
TRIAE_CS42_2DS_TGACV1_177136_AA0566130,5.380007486,5.887989198,5.218320241,5.509456755,4.649107642,4.831088285,5.431639487,5.76247645,6.05414118,5.783930715,5.056380191,6.225429337,3.988073262,5.272243889,4.132786126,6.160861059,5.341052091,5.249144454,6.055783044,5.705057661,5.195245896,5.934301692,4.343270214,5.569385183,4.409683143,5.257044229,5.40219934,4.866686399,6.034082847,6.165008106
TRIAE_CS42_2DS_TGACV1_177294_AA0572540,5.234296898,6.602154555,5.415700767,5.364245547,6.18026093,4.671172136,5.51604347,6.182351607,7.771411607,7.278573385,5.291733742,7.341030217,4.922696869,5.067985541,5.205049056,6.961362205,6.102565306,5.8566037,7.940070773,7.239741899,6.186200188,6.498586922,5.115010324,6.442110138,5.754260262,6.568769526,5.768311308,5.027839778,6.780766551,7.783688908
TRIAE_CS42_2DS_TGACV1_177687_AA0582480,4.196806381,5.807568752,5.040860541,5.203418602,5.498712115,4.336460331,5.376578488,5.543938396,6.714756523,7.05042603,5.357430258,6.397217947,4.554445151,4.63426286,4.53858584,6.183016291,5.192139851,5.438548764,6.552651957,6.79081239,5.973471132,5.631340806,4.525266219,5.974600648,4.905274778,5.490865619,5.295829274,4.311192337,6.45007856,6.245278904
TRIAE_CS42_2DS_TGACV1_178809_AA0601240,5.789862307,5.563051897,4.790620177,5.24460536,4.335592568,4.039854937,5.309578719,4.866048732,5.571720478,5.262814534,3.769565032,5.21351083,3.151915173,3.761546567,3.404525172,5.626897831,4.797194518,5.144519125,5.54243149,5.458295321,6.4746142,4.409143137,4.210834911,5.375042269,3.63245724,4.831022066,4.514951124,3.889157573,5.562092174,5.18478466
TRIAE_CS42_2DS_TGACV1_179091_AA0604270,4.030165088,4.860261916,3.492402176,3.622373666,3.299533728,2.493205453,3.672356194,3.248135553,4.987318901,4.38426413,3.025465818,4.950948982,2.975330567,3.765548786,2.799504472,4.770828682,4.569791682,3.405780198,4.270805926,5.198099162,4.478344261,3.139832618,2.933319491,3.856131788,2.992642505,4.395682961,3.095577609,3.359837048,4.308580559,4.613058987
TRIAE_CS42_3AL_TGACV1_193675_AA0617400,6.315032632,6.676946928,5.516463652,6.371153281,5.316003049,5.2202196,6.060735447,5.872451537,5.995395312,5.168566818,6.424345548,6.802124727,4.465593127,6.07170562,4.814458191,7.042988722,5.979667738,5.591339903,5.864296011,5.399905978,6.490820647,6.026488727,5.380161374,6.105256964,5.282384104,6.185131501,5.667551661,5.429473691,5.978874119,5.984132987
