condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
TRIAE_CS42_6AS_TGACV1_486738_AA1564640,5.752429136,6.869751289,6.86178872,7.938844437,6.550270293,6.808430953,7.817738561,7.769884185,7.413299058,6.327994996,6.648501661,7.344278389,5.472954054,7.484500489,6.195606302,8.180044534,7.093972405,7.360696355,7.412938957,6.200773703,5.920417961,6.19846083,5.694304366,7.270593501,6.8214204,7.490792796,7.834523727,7.002310992,7.042858735,7.321022736
TRIAE_CS42_6AS_TGACV1_487653_AA1572080,5.058771276,7.254029321,3.862960904,6.351852091,2.638971612,4.366009035,5.278038126,4.242958514,6.267976339,5.592564094,3.999277186,6.004032736,2.091864062,6.235461154,3.04927304,5.373916369,5.895435359,5.538400627,5.73109604,5.673556917,6.393866636,3.903050876,2.327375262,5.909299589,3.512530029,4.652444917,5.186060906,5.204056136,4.056161444,5.626228058
TRIAE_CS42_6BL_TGACV1_500168_AA1600460,6.712453036,7.034828362,6.130091063,6.652079497,6.30574595,5.748628362,6.705382024,6.439735281,6.740314847,6.428691531,6.989805202,7.609158286,5.384403315,6.329018341,5.238922925,7.502042988,6.792290554,6.261241653,6.5232392,6.659841206,7.140048841,6.651772112,6.053168586,6.61266181,5.824264088,6.915128033,6.130993854,5.992341662,6.637824057,6.837529147
TRIAE_CS42_6BL_TGACV1_501698_AA1620020,5.869424024,6.203947475,4.997752668,5.85832165,5.46895004,4.967539884,6.047289433,5.75771495,5.97278364,5.916751777,5.732729439,6.410290007,4.28625885,5.528102812,4.435121805,6.520624073,5.895581203,5.546606111,5.833857066,6.026713441,6.601800608,5.619585316,5.335319274,5.892271087,5.129259457,5.83584821,5.450428826,4.793705729,6.019847901,6.106597407
TRIAE_CS42_6BL_TGACV1_502708_AA1626110,7.622862904,7.894917735,7.114621226,7.765091401,6.580338815,6.802606297,7.411936336,7.330162194,6.797135737,5.723000617,8.020068677,8.52933174,6.141985791,7.37855965,6.163171615,8.418534612,7.503957765,6.790590477,6.997998827,6.279236928,7.892001625,7.519390786,6.368850088,7.467081539,6.39441249,7.708913729,7.031477266,7.074595533,6.883551517,7.149035129
TRIAE_CS42_6BS_TGACV1_513502_AA1643690,7.181500686,8.515485735,6.7663576,7.740890463,6.358822722,6.380019142,7.175367288,5.968385257,8.04074645,6.75907312,7.619473937,8.856402161,6.368564474,7.597531785,5.381692975,7.920726161,8.014200146,7.216834295,8.002078382,7.239329827,7.879590456,7.047230224,6.301642308,7.608860709,5.313540898,7.950379057,6.509697171,7.313606979,5.424328679,7.742436743
TRIAE_CS42_6BS_TGACV1_514379_AA1659010,4.262889714,6.045211454,2.997490727,4.947461175,3.14917842,3.908129435,4.3228338,3.557289034,5.82391534,4.851193977,3.721230471,5.632014327,3.000719815,5.090444128,2.778819272,4.98955465,5.006854824,4.175028603,5.469948652,5.175143577,5.425157045,3.535054971,3.680733869,4.808878083,3.044427195,4.483903841,3.965800711,3.995466692,3.750115654,5.669159974
TRIAE_CS42_6DL_TGACV1_526709_AA1690300,7.06966067,7.329361417,6.443356871,7.212690408,5.987015414,6.184593122,7.025339184,6.819704089,6.065741666,5.20344774,7.294238023,7.951834293,5.548269534,6.899288537,5.680102982,7.750077783,6.855606882,6.360180951,6.248885653,5.55737463,7.253267248,6.770653291,5.952843774,6.849391468,5.970306537,7.113757554,6.402425359,6.489071944,6.25920625,6.587596157
TRIAE_CS42_6DL_TGACV1_527491_AA1704790,6.028946731,6.477178188,5.607998549,6.215062795,5.732264808,5.507058499,6.321342787,6.029636874,6.274495319,6.074330803,6.352837563,7.115120119,4.898554016,5.808404376,4.77040289,6.977680236,6.177253772,5.821325393,6.116294031,6.170828986,6.626636686,6.122798114,5.60769586,6.128812339,5.404839457,6.323771514,5.740185118,5.36522723,6.297986651,6.276720366
TRIAE_CS42_6DS_TGACV1_542626_AA1725630,4.921753077,6.158355157,5.743362098,6.879553316,5.753641908,5.795461829,6.864508472,6.405294572,6.411703319,5.732130188,5.707664928,6.590951935,4.459423923,6.471862406,4.922772646,7.038643181,6.28564794,6.275356948,6.555255891,5.684715177,5.574315193,5.49254279,5.105575709,6.058284059,5.799413815,6.591164686,6.59164904,5.953212165,6.342188318,6.361685824
TRIAE_CS42_6DS_TGACV1_543095_AA1735290,7.970778386,9.045422096,7.42582917,8.435338677,6.746328694,7.126415194,7.747384813,6.644156853,8.304549325,7.005856107,7.893661622,9.082666079,6.628970838,8.269698032,5.9202263,8.48645147,8.467387211,7.765544484,8.082535084,7.801776271,8.464616969,7.499131051,6.537068338,8.056027195,6.026257202,8.193101597,7.29285168,7.81157659,5.874424985,8.136491913
TRIAE_CS42_7AL_TGACV1_556250_AA1759120,5.278590566,7.790704302,5.100131637,6.881472903,5.560608551,5.107991259,5.990208509,4.595604581,4.66977558,1.131402111,5.664161148,6.088790875,3.521250431,6.759850221,5.861439287,7.170817761,5.64503692,4.885513395,3.892703581,2.273617556,6.026505866,4.769874975,4.108571215,6.319267168,5.466547183,4.836762744,6.788191033,4.993930543,3.261935314,3.399732977
TRIAE_CS42_7AL_TGACV1_556459_AA1763560,7.398265944,6.691906307,6.153980852,5.486132141,4.968924015,4.866649444,5.662568042,6.156088759,6.65598589,6.211380897,6.384126375,6.415844634,4.197797259,4.578063086,4.346631295,6.660721106,5.507017106,6.025128987,6.777824254,6.122576139,8.34705946,5.680739001,3.888807601,7.05818189,4.611480236,5.636919476,5.659865418,4.547244419,6.482180316,6.108638508
TRIAE_CS42_7AL_TGACV1_556643_AA1767780,5.802770731,6.057640789,5.230113469,5.778190878,5.38665786,4.914212496,5.726769569,5.78926268,5.528067049,4.778080933,5.993539892,6.765079345,4.341921831,5.489813376,4.596824457,6.790785413,5.621592185,5.351692243,5.529964658,5.053209353,6.032258541,6.106521649,5.006948506,5.511091339,5.074561128,5.996198325,5.623262709,5.323141678,5.329879016,5.585738155
TRIAE_CS42_7AS_TGACV1_569068_AA1806240,5.740114404,5.746522628,5.513831891,5.945682354,5.283711214,4.821087692,5.541655625,6.194609452,6.206777519,5.617134668,5.677096209,6.501439809,2.949688335,5.472690753,3.808882247,6.697157697,5.861071083,6.040492778,6.093795478,5.968963282,6.00413395,6.16141827,5.130490256,6.023689694,5.278624733,5.774862056,5.6563414,5.278624733,6.600006544,5.802420445
TRIAE_CS42_7AS_TGACV1_571350_AA1847030,6.227750754,7.46483471,6.471703275,6.154380273,5.801351012,5.730352998,6.595632962,6.169309432,7.04478218,5.553116937,5.610211448,7.997907885,5.005768805,6.287189377,4.732631568,7.422115449,7.22611737,6.247206161,6.620206531,6.610909346,7.140832527,6.360774359,5.195623293,6.905835036,5.321941115,7.376570703,5.854846969,6.308966917,6.198492131,6.753418082
TRIAE_CS42_7BL_TGACV1_578088_AA1889220,7.622433984,8.0320038,7.102345846,7.30240828,6.452449458,6.518524085,6.937534309,6.625936252,7.717028568,6.685662912,7.856360624,8.534956327,5.957094351,7.163716356,5.547867962,8.491063858,7.945054105,6.829512617,7.135632409,7.448675678,7.668217353,7.247520794,6.455073178,7.517724363,6.111021542,7.9327198,6.532910982,7.108739107,6.67388907,7.518697875
TRIAE_CS42_7BL_TGACV1_579312_AA1906270,4.686842335,5.792290786,4.291698399,4.486921417,4.745801316,4.156733901,4.935193099,4.766302154,5.549465114,5.028121515,4.568739577,5.753067754,3.497016523,4.467056884,3.852273001,6.079988113,5.426952417,4.891100725,5.431199173,5.559453955,5.431641238,4.802585589,4.14472077,5.092872515,4.500920165,5.31190464,4.855025773,4.191168747,5.432734617,5.75397483
TRIAE_CS42_7BL_TGACV1_582013_AA1918050,5.273512248,6.426650257,5.598792261,6.460060937,5.398615088,5.283711214,5.878015855,6.176075149,5.557214088,5.118592436,6.299133053,6.991268879,4.160444364,5.79331844,4.220977213,6.449047609,5.533784668,5.476881874,5.620763119,5.199049365,6.208791213,6.333457232,4.920710587,5.958683058,5.31861007,5.96383638,5.82334171,5.298817242,5.714062784,5.670225691
TRIAE_CS42_7DL_TGACV1_602895_AA1971290,6.85187194,7.398324498,6.096327139,7.344122849,5.604552757,6.113116312,7.189547629,7.220298999,5.752606607,5.737953923,6.703118295,7.298166585,5.012083378,6.882597971,5.476625464,7.428088417,6.450498858,6.761168868,5.895548459,5.280703143,7.232739885,6.596140422,5.819567961,6.762673898,5.731857004,6.052018343,6.292466885,6.102604455,7.51066627,5.985935038
TRIAE_CS42_7DL_TGACV1_603301_AA1980400,4.399167635,5.245717956,4.171256219,4.288781322,4.648354189,3.133675171,4.502258891,4.72210842,5.681720898,5.329021144,4.562969116,5.197745368,3.19561948,4.012675255,3.081772346,5.601018585,4.99611708,4.587816478,5.349718405,5.531680519,5.342391667,4.44850351,3.859075712,4.941778128,4.168824132,4.752218561,4.227143186,3.285461,5.381697575,5.110251342
TRIAE_CS42_7DL_TGACV1_604389_AA1997650,7.454370699,7.902416429,6.908598423,6.976850279,6.444796854,6.168305865,6.861302147,6.400460083,7.719819119,6.933531304,7.675808288,8.330503669,5.829824937,7.012265733,5.372937707,8.283784609,7.787686586,6.631242728,7.12172843,7.502620498,7.577210713,7.119577141,6.254483789,7.33135116,6.005126359,7.742400199,6.272172419,6.859092942,6.767631691,7.491662986
TRIAE_CS42_7DS_TGACV1_622118_AA2033080,6.24355312,7.188412736,6.111928431,5.296455635,5.188552722,5.262151184,5.611517321,5.07142304,7.15904304,5.537121646,4.928180791,7.405738795,4.239177682,5.983727191,3.31796069,6.908654874,7.14219479,5.825952909,6.236115155,7.09339632,6.851153181,6.016620467,4.309049945,6.767186611,4.207356233,6.962347626,4.738450297,6.133053081,5.549873432,6.440022669
TRIAE_CS42_7DS_TGACV1_622237_AA2036020,6.26639757,7.121858086,5.802420445,5.738879312,5.28595122,5.394577095,5.932441455,5.697023014,6.633007859,5.987888159,4.96527524,7.159470738,4.196047899,5.960273113,4.201881208,6.99009995,6.705948716,6.027589126,6.456578114,6.674914865,6.680739239,6.053422397,4.679312443,6.393196027,4.782102245,6.44471773,5.369581656,6.043100658,5.997625529,6.512585987
TRIAE_CS42_U_TGACV1_640717_AA2070800,8.194249387,8.627612649,7.684542581,8.06349847,7.567184029,7.292061168,8.069492781,7.789701409,8.14951889,7.772936636,8.184474614,9.127373537,6.866256493,7.7898141,6.668116349,8.883469415,8.388372264,7.711837121,7.976980809,8.146685384,8.710372357,8.073267184,7.512068404,8.071133126,7.250692501,8.364466677,7.59805165,7.583354669,7.924007064,8.385154307
TRIAE_CS42_U_TGACV1_642281_AA2114970,5.736462614,5.7639772,5.264943607,4.830109724,5.796361656,4.730746773,5.252798421,6.090020794,6.523611791,6.610647591,6.022134382,6.503866678,4.816425754,4.556276116,4.639534897,6.423228278,5.747738752,5.87472172,6.579178432,6.41171153,6.208297327,6.172155609,5.25625867,6.284262884,5.225269678,6.032848784,5.154474709,4.870875018,6.345099375,6.973105658
TRIAE_CS42_U_TGACV1_642816_AA2123650,3.475673857,3.825944284,4.722482,4.637995492,4.324698059,4.034300813,4.71164508,4.171393562,3.058688293,1.131402111,2.418312684,4.774313625,5.912131796,3.601178749,3.940328596,4.415600424,3.783048073,4.004467264,2.314128214,2.797793399,4.219565056,3.336577079,4.339745242,5.785884599,3.103473952,3.589128177,6.175191366,4.976388855,3.051720281,1.638703468
TRIAE_CS42_U_TGACV1_644604_AA2140600,8.212082791,9.390025122,7.402530786,8.185035235,5.193512252,7.100719996,7.439764928,6.139975065,8.110469291,6.600149372,6.819985797,8.699922998,5.333201768,8.21578535,4.593087483,8.320613671,8.42839695,7.635979986,7.644067307,7.51088475,8.608887752,7.44168396,4.91338991,8.156791311,4.407938016,7.538596112,6.789873363,7.721955698,5.215479088,7.450654986
TRIAE_CS42_U_TGACV1_716377_AA2167840,4.513987576,4.442266477,3.808136958,4.514765057,3.639387169,2.888965214,4.135032148,3.777737042,4.486414803,3.722159479,4.816654026,4.92930231,2.488101541,4.133057133,2.425545812,5.435702574,4.429427739,3.751159176,4.230530553,3.79455392,4.588880222,4.160406922,4.045537648,4.228901679,3.117033557,4.5217114,4.239633233,3.471292312,4.204392574,3.973607167
TRIAE_CS42_1AL_TGACV1_000361_AA0010050,5.106551351,7.640315462,3.499533282,6.871128638,2.778819272,5.242275976,6.342072122,4.963543687,4.821087692,3.960493118,3.095577609,5.247397687,2.521704559,6.623411628,1.960094784,4.729385821,5.566763101,6.058711896,3.691376334,3.499533282,6.410505419,3.46885603,1.808288771,5.652338292,2.493205453,4.160444364,5.819483344,5.503525027,3.04927304,3.852273001
TRIAE_CS42_1AL_TGACV1_000905_AA0021520,5.300854146,7.11909342,4.538204188,6.473728646,3.837213249,4.583549126,5.847152393,4.851186158,5.423164283,4.250431937,4.735154044,6.042114885,3.174865419,5.74581973,3.222867846,5.132911922,5.949021448,5.704388957,4.513858302,5.035139271,6.687478864,4.863773541,3.205413615,5.684810302,3.77279542,4.959356035,5.615173458,5.55287431,3.345804467,4.079230924
TRIAE_CS42_1AL_TGACV1_001183_AA0026630,7.044075706,7.685994204,5.788959671,6.975890449,6.095561014,6.18633413,6.97169957,6.387419577,6.9589783,6.313767225,6.282410662,7.462301093,5.658227317,6.663353566,5.173998154,6.783845348,6.969456037,6.513151473,6.694995009,7.008817005,7.731127768,5.597095153,6.329976452,6.55280171,5.569652808,6.658627133,6.166284265,6.151870621,5.562326431,7.266653603
TRIAE_CS42_1AL_TGACV1_002432_AA0041900,6.996042766,7.746487026,6.090539676,7.051474858,6.329126433,5.984172701,6.87499085,6.319645362,6.414700563,5.902615574,6.777736795,7.589218993,5.343204737,6.730158543,5.371281077,7.411175853,6.89143655,6.309230405,6.18424703,6.268696014,7.431127682,6.634129289,6.270065132,6.817189666,5.980687685,6.764018733,6.100906448,6.236262539,6.259772268,6.512464788
TRIAE_CS42_1AL_TGACV1_003124_AA0048030,5.972133908,6.496612081,5.619897116,5.96746382,5.09700869,4.947922661,5.591263062,5.279368974,5.687646318,5.214799879,7.329493919,7.432726382,5.800125454,5.221344525,5.174911678,6.882930683,5.889902364,5.278221796,5.933143988,6.093289821,6.034406693,5.651962726,6.480803476,5.670339439,5.152805927,6.41110044,4.689924852,5.721301451,5.435100965,6.309401781
TRIAE_CS42_1AS_TGACV1_019033_AA0058470,6.048135481,6.735854833,5.667215304,6.192064776,5.405309051,5.061759241,6.465568026,5.729633278,5.617280059,5.155831718,7.007254491,7.22997645,4.974586611,5.770599648,4.675394512,6.623954066,5.874789991,5.478428148,5.831103728,5.694909896,6.777166809,6.147088049,5.146754843,5.919354152,5.223631535,6.356107713,5.07374154,5.427043024,6.247868778,6.030495338
TRIAE_CS42_1BL_TGACV1_031159_AA0108940,7.578611349,8.296657237,6.46614659,7.288382464,6.024986602,6.256608982,6.90332046,6.449499809,7.577650209,6.483487096,7.012998328,7.678268974,5.637159293,7.002006717,5.34637917,7.319362154,7.497001434,6.933613456,7.176269975,7.168983514,8.033486178,6.252976525,5.933870656,7.178154866,5.371103734,6.853956216,6.394660249,6.651830367,5.900171015,7.316061015
TRIAE_CS42_1BL_TGACV1_031443_AA0114190,5.402664319,6.11211458,5.287592055,5.651821238,4.533867399,4.81293968,5.406890656,5.310887036,5.03460244,4.734070748,6.715200339,6.740415335,5.26574407,5.066496904,5.017557944,6.681589666,5.338215494,5.040485316,5.459600833,5.401207834,5.300117695,5.104971909,6.015872973,5.361097781,4.902001278,5.69638854,4.676927433,5.451994649,5.230658783,5.639498854
TRIAE_CS42_1BL_TGACV1_031713_AA0119490,6.852344097,7.621725644,6.009546553,6.780307856,6.208794633,5.798254424,6.620247458,6.104684744,6.445527166,5.842603975,6.794696373,7.367173391,5.199397178,6.438338661,5.318985795,7.371690721,6.720194582,6.131164531,6.260065286,6.153672253,7.149147105,6.359986586,6.232747932,6.637250666,5.881362335,6.625961039,6.145237441,5.969949806,6.004963475,6.580030492
TRIAE_CS42_1BL_TGACV1_032766_AA0133950,5.249426447,7.054622355,4.49180886,6.437518022,3.862021508,4.657183721,5.854937243,4.897481527,5.390408735,4.466646926,4.756336417,6.215417771,3.458431163,5.701005289,2.924123484,5.073234436,5.826917091,5.570536756,4.53181101,5.008459596,6.522454497,4.801460392,3.564964532,5.764683137,3.754163791,4.932298908,5.443486403,5.397800645,3.846237841,4.235554731
TRIAE_CS42_1BL_TGACV1_032814_AA0134350,5.394081989,7.830242771,4.566645551,7.269672458,2.839078464,5.733664849,6.824383453,5.652839996,5.644290753,5.712686053,3.04927304,5.295508425,2.208274414,6.974039151,2.091864062,5.07579862,6.025153159,6.603525038,4.332048265,4.616110126,6.706823216,3.893859035,1.62924054,6.216805682,3.529297384,4.175924549,6.546468287,5.993170591,4.036341086,3.972176928
TRIAE_CS42_1DL_TGACV1_061383_AA0193800,8.487774679,8.691210362,7.18848071,7.649116267,5.82471019,6.833614537,7.379395069,6.685285251,7.994224134,6.90168791,7.487694567,8.264466338,5.505989856,7.578160818,4.976519926,7.78394459,8.269587876,7.506855482,7.348323661,7.709967605,8.861272138,6.876575193,5.617959482,7.870307266,5.04407007,7.256551265,6.516339515,7.450660796,6.182291497,7.387548335
TRIAE_CS42_1DL_TGACV1_061579_AA0199110,5.332717344,6.003592209,5.260471148,5.624255745,4.458319629,4.66655593,5.323238246,4.964978715,5.01906037,4.611078696,6.73561373,6.702054956,5.227149453,4.90211572,4.9453726,6.629925843,5.260749966,4.881101994,5.293139484,5.422961257,5.417839778,5.115892804,5.932046759,5.325934965,4.947663545,5.714460593,4.696180224,5.250449777,4.821035314,5.54602279
TRIAE_CS42_1DL_TGACV1_061871_AA0205010,5.135027552,7.585778669,4.305574764,6.874298801,3.499533282,5.185428584,6.637483432,5.481767453,5.329573756,5.357213436,4.500920165,5.944137063,3.0979007,6.497069065,3.027928372,5.069532935,5.581757957,6.267244191,4.443827036,4.089983399,6.47990038,4.378472827,3.529297384,5.899105259,3.265862459,4.847268947,6.278633988,5.637838522,3.942018605,4.291828367
TRIAE_CS42_1DL_TGACV1_062229_AA0211020,5.57514575,6.64615802,5.440951831,5.996755525,5.772399231,5.219549013,6.236774068,6.034153278,6.291104606,5.972710382,5.68465402,6.657620212,4.539100253,5.590612769,4.838524628,6.842931939,5.931710615,5.844792913,6.278459509,6.067596541,6.404834,5.989523414,5.482720173,6.152460317,5.63344942,6.259098938,5.620462458,5.436295109,6.3106263,6.375196526
TRIAE_CS42_1DL_TGACV1_063625_AA0229300,6.077871575,6.333585088,5.249305678,5.261394012,4.779963476,4.635699391,5.78105211,4.91338991,5.438513997,4.544358047,5.74241327,6.508918157,3.990834186,5.100475998,3.972176928,6.205080858,5.644701037,5.16823146,5.176714545,4.92797806,6.708375861,5.102880175,4.357990057,5.567496816,4.039532805,5.90290652,4.825622118,4.829113417,4.278054044,5.167126091
TRIAE_CS42_1DS_TGACV1_080564_AA0250290,5.85456893,7.237815637,5.948686573,7.420298028,6.370169611,6.013700486,7.416934283,6.2249592,5.620839827,4.488792425,6.13025863,6.587825321,4.515700517,6.974786628,5.311913523,7.030364755,6.725034771,6.401625015,5.413937665,4.584590877,7.073523968,6.446323605,6.382169593,6.257253517,6.078863745,5.79516343,6.576352668,5.936453926,6.391277469,4.771841497
TRIAE_CS42_2AL_TGACV1_093939_AA0289710,7.393495068,7.827612842,6.588921526,7.12727708,6.648220009,6.28829341,7.283354131,6.944736949,6.889096277,6.602495622,7.205771025,7.955296705,5.759659216,6.884056672,5.95836035,7.902691189,6.998180821,6.700812287,6.862184527,6.724770702,7.867216222,7.073732322,6.583985819,7.073842435,6.275855585,7.069571362,6.561083564,6.346440423,6.994385167,7.153721989
TRIAE_CS42_2AL_TGACV1_094374_AA0296690,6.356876462,7.735079269,5.484614344,6.959094572,4.061964267,5.479696813,6.49204133,4.817802689,6.387695485,5.507098267,5.157041779,6.597587623,4.20730562,6.539753572,3.499533282,6.276850235,6.577402282,6.255796106,5.439139616,5.673299212,6.946283445,5.268254988,4.184066429,6.265679468,3.652013167,5.709555777,6.029687166,6.295601738,3.950816704,5.488586425
TRIAE_CS42_2AL_TGACV1_094549_AA0299530,4.683056725,6.379549491,4.088183958,5.423967156,5.162274251,4.426667727,5.461379648,4.612006763,6.468693573,5.545509421,5.053784179,6.476119692,4.151117068,5.394263708,4.407938016,6.022728206,5.574030597,4.841979928,6.720128474,5.523187427,5.285384091,4.383646572,4.160444364,5.584488298,4.766327689,5.725762468,5.066006927,4.92797806,5.007356592,6.780767005
TRIAE_CS42_2AL_TGACV1_095131_AA0307260,7.802348309,8.125095342,7.175168315,7.918575886,7.403030621,6.905827422,7.828300946,7.669551272,7.787091528,7.237562496,8.205849375,8.69405487,6.629634023,7.573022397,6.533163643,8.757115194,7.843881932,7.380866574,7.900951495,7.445359144,8.249183019,7.792708067,7.388235091,7.720062325,7.247023603,8.119818269,7.499489697,7.072498234,7.697634356,8.015029941
TRIAE_CS42_2AL_TGACV1_095186_AA0307950,5.033674508,6.562725128,4.542596666,5.991139494,2.872852522,4.407276409,5.620016734,4.123372479,5.704052438,4.845878568,4.383046115,6.387202499,3.152847127,5.527355511,2.091864062,5.167211601,5.981987279,5.463242648,4.5964644,5.385489981,6.017989626,4.577709571,3.450425545,5.570879456,1.967687017,5.414948628,5.133065294,5.454329171,2.503712048,4.583639046
TRIAE_CS42_2AL_TGACV1_097193_AA0323350,6.828283517,7.601071845,6.619983362,7.549675252,6.69518439,6.352426937,7.411033916,7.49118837,7.423715721,7.265939384,7.387970405,8.012705573,5.602469313,7.202023845,5.821021244,8.23031993,7.316107615,7.238984007,7.210585989,7.03555553,7.284104607,7.379328301,6.3764975,7.312296627,6.576008335,7.517206888,7.149880886,6.645304237,7.430047808,7.351848745
TRIAE_CS42_2AL_TGACV1_097448_AA0324210,6.236134729,7.492024654,6.341584303,7.197779606,6.601408092,6.152656096,6.733401892,7.03460817,6.661354616,6.355890623,6.843887466,7.397512515,4.911823658,6.655987176,5.893178945,7.5309359,6.338687713,6.439558017,6.52389118,6.125636984,7.058990284,6.946735579,6.333464336,7.001163651,6.663703414,6.158522286,6.97985266,6.017721789,6.702920593,6.548421088
TRIAE_CS42_2BL_TGACV1_129350_AA0379740,8.033180046,8.308357296,7.491334773,8.040192081,7.792675914,7.026098158,7.978685223,7.725802641,8.093843137,7.472548669,8.63177436,9.172546185,7.236657291,7.75334574,6.937873633,9.202774241,8.176144631,7.494421872,8.266637101,7.921911831,8.43009272,8.073569227,7.860030184,7.857314042,7.674009602,8.66453843,7.593822254,7.269030505,7.825475908,8.591471935
TRIAE_CS42_2BL_TGACV1_129463_AA0384870,5.605857212,7.083203267,5.91512871,6.610736421,6.082490563,5.512799516,6.151250746,6.765457574,6.458947815,5.803096749,6.828777005,7.15243329,4.92904194,6.086138161,5.465406835,7.144123004,5.542975804,6.113002746,6.37693611,5.451364581,6.194360492,6.695392159,5.582258701,6.738241353,6.233463218,5.853798906,6.642804873,5.778064003,6.163015812,6.129453179
TRIAE_CS42_2BL_TGACV1_129475_AA0385350,5.221938356,6.737735346,4.25174282,6.390685199,2.822966911,5.045146216,5.960953792,4.360264038,5.753724356,5.076753816,4.012772909,6.116417374,2.994251177,5.981353603,2.208274414,5.401311585,5.904126753,5.980380849,4.751933647,5.252854411,6.406097502,4.363334266,2.968787502,5.613697287,2.644485428,5.327011718,5.698508592,5.603239963,3.411824051,4.725022191
TRIAE_CS42_2BL_TGACV1_129696_AA0392910,7.528658595,7.823123586,6.611871262,7.240511333,6.745994533,6.315305378,7.321829885,6.931843807,6.931763755,6.569318714,7.295758139,7.955789807,5.845680974,6.9437043,5.907336464,7.955929346,7.054250156,6.704234192,6.871746681,6.779469532,7.833778892,6.93879066,6.691089452,7.062869209,6.354696596,7.004400022,6.512883909,6.378613433,6.971178804,7.221029803
TRIAE_CS42_2BS_TGACV1_146777_AA0472590,6.394469131,6.84277506,5.980862797,6.695062923,6.201484763,5.724987713,6.896725676,6.275364476,6.167036292,5.685686051,6.722652659,7.358662094,5.244664976,6.295125217,5.217221188,7.327945439,6.642275567,6.000808011,6.22362651,6.115388688,7.130985227,6.128868712,5.857868581,6.427292341,5.958224156,6.602856513,6.204244582,5.681815286,6.238511326,6.725226901
TRIAE_CS42_2BS_TGACV1_147340_AA0481970,6.731114755,7.263054948,6.216280699,7.097723194,6.225132522,5.941845902,6.532484208,6.615866236,6.753926714,5.922711825,7.139612754,7.376439605,5.277753369,6.698594758,5.646662413,7.774959207,6.626134665,6.279213117,6.707319445,5.871640492,7.197887572,6.324986006,6.217422135,6.979933005,6.240117938,6.652913609,6.621929616,5.757051483,6.298290942,6.539873487
TRIAE_CS42_2DL_TGACV1_158198_AA0512160,4.044804117,6.10041536,4.272266176,4.825445628,5.291489107,4.264087337,5.549056629,4.511957804,6.201612014,5.557271979,5.127884854,6.21868179,3.519371452,5.286310573,4.697813176,5.932730481,5.239623068,4.826095278,6.509283163,5.158164098,5.300534906,4.027135813,4.062165664,5.338033149,5.196910137,5.529825834,5.375967985,4.249922794,5.348516062,6.398436852
TRIAE_CS42_2DL_TGACV1_158784_AA0526090,8.131357666,8.491760567,7.538637118,8.232233889,7.733051672,7.109541824,8.169470825,7.96557901,8.041334438,7.513409749,8.556788988,9.050857148,6.895309349,7.931976689,6.976487659,9.0699135,8.228731562,7.702703952,8.190798371,7.807247706,8.655881601,8.167604991,7.86628432,8.070162281,7.642849117,8.463605498,7.76653007,7.32385794,7.975767938,8.410422749
TRIAE_CS42_2DL_TGACV1_159075_AA0531860,6.3694848,7.629242072,5.598621939,7.015882962,3.914254514,5.47405899,6.463129296,5.045339413,6.172443536,5.280967728,5.285991717,6.644748908,3.989441349,6.58347561,3.222867846,6.36490565,6.624768831,6.310837855,5.169284412,5.319192947,7.008758315,5.620495064,3.88296076,6.294823099,3.545234232,5.718549569,6.057151627,6.214644098,3.18221184,5.111969716
TRIAE_CS42_2DL_TGACV1_159638_AA0540820,7.315199095,7.79913879,6.787371364,7.742798645,6.828743456,6.471039295,7.440226969,7.495050323,7.421448408,7.001991045,7.965148346,8.271111051,6.020724794,7.415938246,6.083076991,8.341983944,7.499576572,7.194487073,7.34076,6.79787233,7.721734389,7.372381853,6.752401524,7.430538129,6.610385095,7.790674382,7.227780771,6.919806372,7.366799158,7.381899173
TRIAE_CS42_2DL_TGACV1_159745_AA0542230,7.333232143,7.726508152,6.64954139,7.112335595,6.501658972,6.30462429,7.248127045,6.780201414,6.700098683,6.207551257,7.232790938,7.913019794,5.747234607,6.796953319,5.876611901,7.862231573,6.935263436,6.58116743,6.579551167,6.472218002,7.719374147,6.935594156,6.460974304,6.964919804,6.221643293,6.915911923,6.510996164,6.316679009,6.708484492,7.04364015
TRIAE_CS42_2DL_TGACV1_162895_AA0563810,5.25801607,7.072413419,4.575741375,6.399468097,2.949688335,4.920710587,5.937800023,4.235554731,5.878015855,5.215479088,3.972176928,6.398609909,3.18221184,6.013959625,2.091864062,5.398615088,6.265491309,5.895790301,4.664382046,5.677096209,6.464303216,4.585987367,3.933784497,5.784132827,1.62924054,5.515724496,5.386557155,5.858218828,3.299533728,4.625952725
TRIAE_CS42_2DS_TGACV1_178229_AA0593060,6.273025863,6.738278079,5.824163614,6.466052963,6.131967519,5.73437634,6.749902622,6.412533939,6.490928369,6.112735271,6.470319512,7.169230071,4.970113949,6.220180543,5.043689598,7.321482164,6.48926268,6.17752826,6.398868774,6.449485735,7.039813712,6.26881651,5.906481112,6.502409014,5.93806377,6.658735559,6.151649129,5.56747084,6.538310576,6.747302919
