"condition","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"time","3","3","3","7","7","7","10","10","10","13","13","13","15","15","15","17","17","17","19","19","19","21","21","21","23","23","23","26","26","26"
"TRIAE_CS42_2AS_TGACv1_113086_AA0351020","3.335769576","4.807596612","5.18555732","5.128234609","5.867379822","5.711452981","4.645198265","3.984661756","3.957932835","4.612701752","3.877742071","5.185988182","4.777929503","3.575506368","4.197634937","3.370738174","5.448993446","5.005441831","4.556276116","4.490465034","4.44063275","4.924096533","4.622715365","3.437207819","5.873601196","6.132506105","6.207881526","6.469247216","6.177321514","5.672962377"
"TRIAE_CS42_2AS_TGACv1_113123_AA0351630","4.959524439","4.916881236","5.773939557","6.428790014","6.55037866","6.068351511","5.249069348","4.143821792","4.569048586","5.697207574","5.375500605","6.126685761","5.554458461","4.565600532","5.07427341","4.414394594","6.61838378","5.961301687","5.776242661","5.693183167","5.462228826","5.951418293","5.947225262","4.715404804","7.076628477","7.115159616","6.653707834","6.508160904","6.586120619","6.858383296"
"TRIAE_CS42_2AS_TGACv1_113243_AA0353410","3.472537718","3.821375936","3.958818801","5.125599546","5.684851068","4.766140417","5.104756889","3.81216068","3.999343168","5.748210759","5.310176765","5.623920029","5.113077556","4.542620087","5.045229939","5.12215878","6.467857099","5.932356587","6.042266971","5.720557648","5.913832681","6.323907247","5.888171338","5.273676253","6.207776818","5.95668675","6.200825554","5.62524419","5.57698266","6.135722887"
"TRIAE_CS42_2BL_TGACv1_130658_AA0415490","7.964552024","7.479107637","8.870887698","6.892906581","7.199715686","5.869418375","6.847540198","4.70401955","4.594418594","5.800479571","5.01434175","7.302712034","5.494739048","4.974800841","5.426899658","5.224105543","7.314266506","6.34819449","5.917748037","5.910493075","5.74526665","6.117960625","5.814697535","4.94862513","7.052556676","7.422403587","6.482443523","6.532658839","6.759653103","6.902645245"
"TRIAE_CS42_2BL_TGACv1_131096_AA0422580","4.946927006","6.091741915","6.295682889","6.817590608","6.805544354","5.412444394","5.347878662","4.86260308","4.551596399","5.928042469","5.608770817","5.775194196","5.498457963","4.63360214","5.174232654","4.658414226","6.341221366","6.51766241","5.929187467","5.553633389","5.350971485","5.281443297","5.186726371","4.909232123","5.860805312","5.786492698","4.8160792","5.203217365","5.60569912","5.854618811"
"TRIAE_CS42_2BS_TGACv1_145996_AA0452240","4.197613893","5.153922609","3.859577047","4.863310156","6.032585377","5.185344058","5.53928838","4.259291043","3.638872175","6.134268813","5.481330767","5.85984561","4.942235104","4.562540621","4.793395117","5.015244655","7.129608398","6.369953892","6.083149527","6.044622539","5.851841208","6.338355004","5.678297473","5.578876632","6.097483883","6.034243825","5.995528279","5.529946414","5.495588946","6.265911578"
"TRIAE_CS42_2BS_TGACv1_146243_AA0460100","3.172932405","4.422706619","5.582296341","5.422643395","5.55377708","4.960849635","4.10845619","2.728022749","3.958228881","4.941270925","4.531366475","5.245902391","4.779745149","4.06737582","5.123987789","3.74372269","5.446582187","4.548656976","5.064403523","4.390707596","5.092884796","5.373823646","4.874296154","3.883938296","5.608500628","5.399568952","6.027425144","6.399157172","5.888237864","5.170563537"
"TRIAE_CS42_2BS_TGACv1_146253_AA0460480","6.333254761","6.709126276","6.737211294","6.850884353","7.176556474","6.285228711","5.831113854","4.958078043","5.722028335","6.591365042","6.273627668","6.400954876","5.850007544","5.130354824","5.595324574","5.44029815","7.468335744","6.437301949","6.545578083","6.446838241","6.029562034","5.993998833","5.870965013","5.659534479","6.246141649","6.19518264","6.254524723","5.78303718","5.941814638","6.294261807"
"TRIAE_CS42_2BS_TGACv1_146614_AA0469500","5.247955217","5.19309573","5.998765331","6.653114611","7.003883306","6.594591283","5.303309883","4.643274892","4.958253688","5.842488788","5.363158967","6.413740885","5.912948798","5.087534605","5.604687475","4.958506563","6.787278869","6.195549634","6.016415663","5.830297644","5.77044686","6.336600927","6.190471131","5.054109768","7.414175212","7.614435474","7.188337205","6.955363793","6.881818818","7.356509735"
"TRIAE_CS42_2BS_TGACv1_146868_AA0474290","3.415126585","2.57261223","4.449210872","4.693483215","4.43244048","3.786459782","3.499533282","3.118122458","3.526254637","4.091569047","4.208467575","4.088071595","3.786459782","2.6041035","3.46885603","3.404525172","5.073459847","4.46465446","4.717641361","4.72388612","3.763522997","3.822301778","3.879189848","3.222867846","5.034208581","4.710430697","4.962718748","5.05453096","5.161093451","4.946473591"
"TRIAE_CS42_2DL_TGACv1_158702_AA0524660","6.171934391","6.438234733","6.64458499","6.994318222","7.356350117","6.311631356","6.135900333","4.762507213","5.242603791","6.516601277","6.266621633","6.529871291","5.905500803","5.174096779","5.890510973","5.560700862","7.212058452","6.620896867","6.477862736","6.473733277","6.045959835","6.030959261","5.768155357","5.766340912","6.334772297","6.186181875","6.052940571","5.524651822","5.863383986","6.250071763"
"TRIAE_CS42_2DL_TGACv1_158819_AA0526620","7.738736458","7.362613544","8.950155431","6.977467891","7.117635257","5.949733285","6.745465735","4.660727875","4.764999","5.957087883","5.169136497","7.498277089","5.654823296","4.838184857","5.467490359","5.143369703","7.128656318","6.342494589","6.316713321","5.870039575","5.79994078","6.61816472","6.113677755","4.739867149","6.958058583","7.402390543","6.878960665","6.594450395","6.677200583","6.793424652"
"TRIAE_CS42_2DL_TGACv1_159712_AA0541890","7.070994844","6.643939722","7.184006631","7.715910537","8.489676907","6.894054754","6.693294721","5.761482038","5.857589667","6.424813593","6.558274098","7.22604005","6.244766139","5.030156836","5.521024823","5.737750313","7.780963037","7.48974598","6.320554782","7.671510688","5.901727267","5.76834912","6.142368104","6.60386309","7.889753823","7.639059343","6.010359091","6.453954047","7.512837537","7.648010734"
"TRIAE_CS42_2DS_TGACv1_177136_AA0566130","5.380007486","5.056380191","5.195245896","5.887989198","6.225429337","5.934301692","5.218320241","3.988073262","4.343270214","5.509456755","5.272243889","5.569385183","4.649107642","4.132786126","4.409683143","4.831088285","6.160861059","5.257044229","5.431639487","5.341052091","5.40219934","5.76247645","5.249144454","4.866686399","6.05414118","6.055783044","6.034082847","5.783930715","5.705057661","6.165008106"
"TRIAE_CS42_2DS_TGACv1_177294_AA0572540","5.234296898","5.291733742","6.186200188","6.602154555","7.341030217","6.498586922","5.415700767","4.922696869","5.115010324","5.364245547","5.067985541","6.442110138","6.18026093","5.205049056","5.754260262","4.671172136","6.961362205","6.568769526","5.51604347","6.102565306","5.768311308","6.182351607","5.8566037","5.027839778","7.771411607","7.940070773","6.780766551","7.278573385","7.239741899","7.783688908"
"TRIAE_CS42_2DS_TGACv1_177687_AA0582480","4.196806381","5.357430258","5.973471132","5.807568752","6.397217947","5.631340806","5.040860541","4.554445151","4.525266219","5.203418602","4.63426286","5.974600648","5.498712115","4.53858584","4.905274778","4.336460331","6.183016291","5.490865619","5.376578488","5.192139851","5.295829274","5.543938396","5.438548764","4.311192337","6.714756523","6.552651957","6.45007856","7.05042603","6.79081239","6.245278904"
"TRIAE_CS42_2DS_TGACv1_178809_AA0601240","5.789862307","3.769565032","6.4746142","5.563051897","5.21351083","4.409143137","4.790620177","3.151915173","4.210834911","5.24460536","3.761546567","5.375042269","4.335592568","3.404525172","3.63245724","4.039854937","5.626897831","4.831022066","5.309578719","4.797194518","4.514951124","4.866048732","5.144519125","3.889157573","5.571720478","5.54243149","5.562092174","5.262814534","5.458295321","5.18478466"
"TRIAE_CS42_2DS_TGACv1_179091_AA0604270","4.030165088","3.025465818","4.478344261","4.860261916","4.950948982","3.139832618","3.492402176","2.975330567","2.933319491","3.622373666","3.765548786","3.856131788","3.299533728","2.799504472","2.992642505","2.493205453","4.770828682","4.395682961","3.672356194","4.569791682","3.095577609","3.248135553","3.405780198","3.359837048","4.987318901","4.270805926","4.308580559","4.38426413","5.198099162","4.613058987"
"TRIAE_CS42_3AL_TGACv1_193675_AA0617400","6.315032632","6.424345548","6.490820647","6.676946928","6.802124727","6.026488727","5.516463652","4.465593127","5.380161374","6.371153281","6.07170562","6.105256964","5.316003049","4.814458191","5.282384104","5.2202196","7.042988722","6.185131501","6.060735447","5.979667738","5.667551661","5.872451537","5.591339903","5.429473691","5.995395312","5.864296011","5.978874119","5.168566818","5.399905978","5.984132987"
"TRIAE_CS42_3AL_TGACv1_193821_AA0620220","5.791793352","5.93536234","6.274117746","6.036590865","7.029574602","6.171556537","5.74037795","4.761241877","4.913037166","4.640286333","4.813727879","5.469510566","5.418275812","4.308681448","4.14472077","4.589974311","6.551705854","5.992526483","4.646465668","5.696529569","3.83081295","3.980251585","4.386022391","4.707076744","5.670094693","5.702071011","3.808882247","4.357197169","5.493279527","6.026561384"
"TRIAE_CS42_3AL_TGACv1_194123_AA0626970","5.069763204","5.168383609","6.146193917","6.888731264","6.853854377","5.688521956","4.96514771","4.614050638","4.933394214","5.979011327","5.942343366","5.849418147","5.474742406","4.946261737","5.25584667","5.248882712","6.71062895","5.909695225","6.17874651","6.169950424","5.685734689","5.412574683","5.676650715","5.284588049","6.974612111","6.522265871","5.997559684","6.020602144","6.616293272","6.698023511"
"TRIAE_CS42_3AL_TGACv1_194368_AA0631880","4.667647209","4.772809484","5.690771532","6.49577298","6.222889711","5.443776095","4.971346845","3.061042372","3.481203166","5.199364059","5.411061059","6.022752436","5.095809429","3.315962607","4.703856478","4.369461776","6.307717677","5.50145411","5.431986875","5.805442151","4.772606505","4.919309167","5.695397418","5.000046093","6.469178996","6.455077487","5.560750859","6.009915771","6.467285597","6.352348869"
